Site Name ,SANT-ANGELO-2M
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,13341


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

562,17/09/2023 , 06:30:00,0,0
563,17/09/2023 , 06:45:00,7,0.41
564,17/09/2023 , 07:00:00,65,3.8
565,17/09/2023 , 07:15:00,165,9.64
566,17/09/2023 , 07:30:00,296,17.29
567,17/09/2023 , 07:45:00,403,23.54
568,17/09/2023 , 08:00:00,502,29.33
569,17/09/2023 , 08:15:00,576,33.65
570,17/09/2023 , 08:30:00,656,38.32
571,17/09/2023 , 08:45:00,706,41.24
572,17/09/2023 , 09:00:00,757,44.22
573,17/09/2023 , 09:15:00,798,46.62
574,17/09/2023 , 09:30:00,881,51.47
575,17/09/2023 , 09:45:00,976,57.02
576,17/09/2023 , 10:00:00,1080,63.09
577,17/09/2023 , 10:15:00,1197,69.93
578,17/09/2023 , 10:30:00,1341,78.34
579,17/09/2023 , 10:45:00,3705,216.44
580,17/09/2023 , 11:00:00,6607,385.97
581,17/09/2023 , 11:15:00,6991,408.4
582,17/09/2023 , 11:30:00,7448,435.1
583,17/09/2023 , 11:45:00,8064,471.08
584,17/09/2023 , 12:00:00,8373,489.13
585,17/09/2023 , 12:15:00,8675,506.78
586,17/09/2023 , 12:30:00,8823,515.42
587,17/09/2023 , 12:45:00,9117,532.6
588,17/09/2023 , 13:00:00,9132,533.47
589,17/09/2023 , 13:15:00,8868,518.05
590,17/09/2023 , 13:30:00,8085,472.31
591,17/09/2023 , 13:45:00,7732,451.69
592,17/09/2023 , 14:00:00,4673,272.99
593,17/09/2023 , 14:15:00,5052,295.13
